공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
R26BK01317193-000,48217273,"강원,강릉시",조경식재시설물/도시림조성/산림조합,,수의,,2026-02-04
R26BK01316583-000,26313000,"인천,강화군",조경식재시설물,,수의,,2026-02-04
R26BK01317622-000,62454546,"경북,청도군",철콘,,수의,,2026-02-04
R26BK01316511-000,22558182,"경기,고양시",조경식재시설물,,수의,,2026-02-04
R26BK01316546-000,22558182,"경기,고양시",조경식재시설물,,수의,,2026-02-04
R26BK01315017-000,191685455,"경남,합천군",실내건축,,수의,,2026-02-04
R26BK01317357-000,53690000,경기,"(지반조성포장,기계가스설비)",,수의,,2026-02-04
R26BK01315673-000,48660000,"경남,거창군/경남,산청군/경남,의령군/경남,창녕군/경남,합천군",조경식재시설물,,수의,,2026-02-04
2026013009,143640000,인천,도장습식방수석공,,적격심사,한국가스공사_별지-7,2026-02-04
R26BK01315913-000,587786363,대구,상하수도,,적격심사,행자부_별표-5,2026-02-04
R26BK01316480-000,614200000,대구,상하수도,,적격심사,행자부_별표-5,2026-02-04
R26BK01314238-000,202063636,충북,토목/토건,,적격심사,조달청_별표-4,2026-02-04
R26BK01317383-000,2045845455,울산,토목/토건,,적격심사,행자부_별표-4,2026-02-04
R26BK01316376-000,405000000,서울,"(도장습식방수석공,지반조성포장)/토목/토건",,적격심사,행자부_별표-5,2026-02-04
R26BK01317425-000,76209091,"충북,청주시",상하수도,,수의,,2026-02-04
R26BK01314472-000,181818182,"경기,성남시",도장습식방수석공,,수의,,2026-02-04
R26BK01314496-000,181818182,"경기,성남시",도장습식방수석공,,수의,,2026-02-04
R26BK01314428-000,163129091,"경기,성남시",조경식재시설물,,수의,,2026-02-04
R26BK01315899-000,187023636,"경기,남양주시",조경식재시설물,,수의,,2026-02-04
R26BK01314406-000,163060910,"경기,성남시",조경식재시설물,,수의,,2026-02-04
R26BK01316267-000,123057273,"경남,산청군",도장습식방수석공,,수의,,2026-02-04
R26BK01314451-000,173192728,"경기,성남시",조경식재시설물,,수의,,2026-02-04
R26BK01316719-000,259990909,대구,상하수도,장비[하수관로준설차량],적격심사,행자부_별표-6,2026-02-04
R26BK01315183-000,1575693636,전남,토목/토건,,적격심사,한국농어촌공사_별표-2,2026-02-04
E012600672,758916616,강원,전기,배전지중_준공금액,적격심사,한국전력공사(배전)_10억미만,2026-02-04
R26BK01316439-000,186955000,전국,전기,특수실적,적격심사,한국지역난방공사_별표-1-6,2026-02-04
R26BK01315184-000,806950000,서울,철콘/토목/토건,,적격심사,행자부_별표-5,2026-02-04
